subject,property,current_or_latest,start_time
Round_Valley_Ensphere,owner,,
Ausserfern_Railway,owner,,
Mumbra_railway_station,owner,,
Gravesend_West_railway_station,owner,,
Aviva_Stadium,owner,,
Earsham_railway_station,owner,,
Gare_d'Eu,owner,,
Gundremmingen_Nuclear_Power_Plant,owner,,
Athletic_Park_(Vancouver),owner,,
KL_Gateway-Universiti_LRT_Station,owner,,
Midsomer_Norton_railway_station,owner,,
Ontario_Legislative_Building,owner,,
Dehradun_railway_station,owner,,
Brasted_railway_station,owner,,
Colross,owner,,
Meridian_Power_Station,owner,,
Vashi_railway_station,owner,,
Parque_Deportivo_Veracruzano,owner,,
Corby_Glen_railway_station,owner,,
Gare_de_Wambaix,owner,,
Kingsland_Railway_Station,owner,,
Khar_Road,owner,,
Bandar_Tasik_Selatan_station,owner,,
Fruitvale_Road_Railway_Station,owner,,
Birmingham_West_Suburban_Railway,owner,,
Tuxford_Central_railway_station,owner,,
Cole_(for_Bruton)_railway_station,owner,,
Santacruz_railway_station,owner,,
Thakurli_railway_station,owner,,
Thoor_Ballylee,owner,,
Nilaje_railway_station,owner,,
Boscombe_railway_station,owner,,
Clarence_Hotel,owner,,
Hubert_H._Humphrey_Metrodome,owner,,
Perambur_railway_station,owner,,
Whittington_High_Level_railway_station,owner,,
Homersfield_railway_station,owner,,
Perungalathur_railway_station,owner,,
Gare_de_Wacquemoulin,owner,,
Edzell_Castle,owner,,
Deepcar_railway_station,owner,,
Kitchener_line,owner,,
Hethersett_railway_station,owner,,
Hazarduari_Palace,owner,,
King's_Road_Chelsea_railway_station,owner,,
Longfield_Halt_railway_station,owner,,
Snettisham_railway_station,owner,,
Hellingly_railway_station,owner,,
Eldon_Square_Shopping_Centre,owner,,
Bhivpuri_Road_railway_station,owner,,
Colwall_Tunnels,owner,,
Aegir_Wave_Farm,owner,,
Exchange_Plaza,owner,,
Wangsa_Maju_LRT_Station,owner,,
Monticello_Steam_Electric_Station,owner,,
Tambaram_Sanatorium_railway_station,owner,,
Binegar_railway_station,owner,,
Greatstone-on-Sea_Halt_railway_station,owner,,
Sportcomplex_Varkenoord,owner,,
Lake_View_(Erie_Railroad_station),owner,,
Essendine_railway_station,owner,,
Edmonds_station_(TransLink),owner,,
Cribbs_Causeway,owner,,
Masjid_railway_station,owner,,
Konkan_Railway,owner,,
Gare_de_Bertry,owner,,
Salvation_Army_Halt_railway_station,owner,,
Brussels-South_railway_station,owner,,
AT&T_Building_(Nashville),owner,,
Leicester_Central_railway_station,owner,,
Oresund_Line,owner,,
Peterborough_East_railway_station,owner,,
Panvel_railway_station,owner,,
Padang_Besar_railway_station,owner,,
Gare_de_Montreuil-sur-Mer,owner,,
Paranur_railway_station,owner,,
Asia_Jaya_LRT_Station,owner,,
Masbury_railway_station,owner,,
Kanjurmarg_railway_station,owner,,
David_Grant_USAF_Medical_Center,owner,,
Chittaurgarh_Junction_railway_station,owner,,
Little_Bytham_railway_station,owner,,
Eleven_Madison_Park,owner,,
San_Onofre_Nuclear_Generating_Station,owner,,
Braid_station,owner,,
Govandi_railway_station,owner,,
Buenavista_Station,owner,,
Grant_Road_railway_station,owner,,
Stutton_railway_station,owner,,
Reay_Road_railway_station,owner,,
CoolSprings_Galleria,owner,,
Koma_Kulshan_Project,owner,,
Taman_Melati_LRT_Station,owner,,
Bhopal_Junction_railway_station,owner,,
Warsop_railway_station,owner,,
Knowle_Halt_railway_station,owner,,
Klamath_Falls_station,owner,,
Hotel_Arts,owner,,
Morristown_Line,owner,,
KLCC_LRT_Station,owner,,
Ennore_railway_station,owner,,
Gare_de_Brest,owner,,
Westfield_San_Francisco_Centre,owner,,
Newick_and_Chailey_railway_station,owner,,
Gangapur_City_railway_station,owner,,
Mambalam_railway_station,owner,,
Kardzhali_Hydroelectric_Power_Station,owner,,
Greenlane_Railway_Station,owner,,
Ashwellthorpe_railway_station,owner,,
Somerset_and_Dorset_Joint_Railway,owner,,
Ambattur_railway_station,owner,,
Navajo_Generating_Station,owner,,
Dunstanburgh_Castle,owner,,
Harlequin_Shopping_Centre,owner,,
Wellington_International_Airport,owner,,
Burnham_Market_railway_station,owner,,
Henderson_Field_(Midway_Atoll),owner,,
Ghatkopar_railway_station,owner,,
InterContinental_Toronto_Centre,owner,,
Wadsley_Bridge_railway_station,owner,,
Fledborough_railway_station,owner,,
Skitube_Alpine_Railway,owner,,
RAAF_Woomera_Airfield,owner,,
Royapuram_railway_station,owner,,
Steyning_railway_station,owner,,
Hunstanton_railway_station,owner,,
Athipattu_railway_station,owner,,
Bonney_Field,owner,,
York_Castle,owner,,
Tambaram_railway_station,owner,,
Evercreech_Junction_railway_station,owner,,
Whittington_Low_Level_railway_station,owner,,
Rabale_railway_station,owner,,
Vaitarna_railway_station,owner,,
Swainsthorpe_railway_station,owner,,
Blossom_Music_Center,owner,,
Les_Halles,owner,,
Salesforce_Tower,owner,,
Fordingbridge_railway_station,owner,,
Wroxall_railway_station,owner,,
Moore_Market_Complex_railway_station,owner,,
Middletown_(Erie_Railroad_station),owner,,
Chevening_Halt_railway_station,owner,,
Wimborne_railway_station,owner,,
Bijbehara_railway_station,owner,,
The_Joint_(music_venue),owner,,
Anna_Nagar_railway_station,owner,,
Henderson_Railway_Station,owner,,
Gare_de_Ham_(Somme),owner,,
Geldeston_railway_station,owner,,
Crumlin_Viaduct,owner,,
Somain-Halluin_Railway,owner,,
Stella_power_stations,owner,,
Gare_de_Fouilloy,owner,,
The_Harmon,owner,,
Palasdari_railway_station,owner,,
Oshiwara_railway_station,owner,,
Oshawa_GO_Station,owner,,
Mongstad_Power_Station,owner,,
Loy_Yang_Power_Station,owner,,
Gare_de_Perpignan,owner,,
Brighton_Beach_Generating_Station,owner,,
Brokdorf_Nuclear_Power_Plant,owner,,
Staveley_Works_railway_station,owner,,
Tuxford_North_railway_station,owner,,
Plant_Daniel,owner,,
Sturminster_Newton_railway_station,owner,,
Governor_Phillip_Tower,owner,,
Pattabiram_railway_station,owner,,
Bason_Bridge_railway_station,owner,,
Lakeshore_West_line,owner,,
Gare_de_La_Faloise,owner,,
Blyth_Power_Station,owner,,
Killamarsh_Central_railway_station,owner,,
Bhuj_railway_station,owner,,
Calke_Abbey,owner,,
Ras_Qartas_Energy_Plant,owner,,
Fateh_Singhpura_railway_station,owner,,
Lehigh_Line_(Conrail),owner,,
Ranui_Railway_Station,owner,,
Bridport_West_Bay_railway_station,owner,,
Ventnor_railway_station,owner,,
Puchong_Prima_LRT_Station,owner,,
Stanhoe_railway_station,owner,,
One_Central,owner,,
Bhandup_railway_station,owner,,
Nottingham_Victoria_railway_station,owner,,
Uralite_Halt_railway_station,owner,,
Hatfield_Aerodrome,owner,,
Fremantle_railway_line,owner,,
Corfe_Mullen_Halt_railway_station,owner,,
Arnhem_Centraal_railway_station,owner,,
Esbjerg_Station,owner,,
CBD_Belapur_railway_station,owner,,
Whitstone_and_Bridgerule_railway_station,owner,,
Etal_Castle,owner,,
Churchgate_railway_station,owner,,
Jogeshwari_railway_station,owner,,
Watchingwell_Halt_railway_station,owner,,
Sri_Petaling_LRT_Station,owner,,
Bhayandar_railway_station,owner,,
Folkestone_Warren_Halt_railway_station,owner,,
Government_House_(Saskatchewan),owner,,
Lynemouth_power_station,owner,,
Henfield_railway_station,owner,,
Otley_and_Ilkley_Joint_Railway,owner,,
Verona_(Erie_Railroad_station),owner,,
Titwala_railway_station,owner,,
Goshainganj_railway_station,owner,,
Gare_de_Namps-Quevauvillers,owner,,
Benson_Street_(NJT_station),owner,,
Bhagat_Ki_Kothi_railway_station,owner,,
Orakei_Railway_Station,owner,,
Budgam_railway_station,owner,,
Corridor_(Via_Rail),owner,,
Halley_Research_Station,owner,,
Chembur_railway_station,owner,,
Stoughton_Line,owner,,
Chennai_Park_railway_station,owner,,
Chard_Branch_Line,owner,,
Blackwater_(Isle_of_Wight)_railway_station,owner,,
Newchurch_(Isle_of_Wight)_railway_station,owner,,
